Дата,Время,Команда_1,Команда_2,счёт,стадион
06.03.2016,16:30,ФК Уфа,Мордовия,1:1 (0:0),УфаСтадион Нефтяник
05.03.2016,19:30,ФК Краснодар,Зенит,0:0,КраснодарСтадион Кубань
05.03.2016,17:00,Рубин,Кубань,1:0 (0:0),КазаньКазань-Арена
05.03.2016,14:30,Крылья Советов,ФК Ростов,0:1 (0:1),СаранскСтадион Старт
04.12.2015,19:00,Динамо,Анжи,1:2 (1:0),ХимкиАрена Химки
04.12.2015,19:00,Кубань,ФК Краснодар,2:3 (1:0),КраснодарСтадион Кубань
04.12.2015,19:00,Локомотив,Урал,2:2 (1:2),МоскваСтадион Локомотив
04.12.2015,19:00,Спартак,Крылья Советов,1:0 (1:0),МоскваОткрытие Арена
04.12.2015,19:00,ФК Ростов,Рубин,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
03.12.2015,19:00,Амкар,ЦСКА,2:0 (1:0),ПермьСтадион Звезда
03.12.2015,19:00,Зенит,ФК Уфа,1:1 (0:1),Санкт-ПетербургСтадион Петровский
03.12.2015,19:00,Мордовия,Терек,0:0,СаранскСтадион Старт
30.11.2015,19:15,Рубин,Спартак,2:2 (0:0),КазаньКазань-Арена
30.11.2015,19:00,Динамо,Локомотив,2:2 (1:0),ХимкиАрена Химки
30.11.2015,19:00,ФК Краснодар,ФК Ростов,2:1 (0:0),КраснодарСтадион Кубань
29.11.2015,15:00,Анжи,ЦСКА,1:1 (0:1),КаспийскАнжи-Арена
28.11.2015,17:30,Терек,Зенит,4:1 (2:0),ГрозныйСтадион им. А.А. Кадырова
28.11.2015,16:00,Крылья Советов,Амкар,0:0,СамараСтадион Металлург
28.11.2015,14:30,ФК Уфа,Кубань,2:2 (1:2),УфаСтадион Нефтяник
27.11.2015,19:00,Урал,Мордовия,3:1 (2:1),ЕкатеринбургСКБ-Банк Арена
23.11.2015,19:00,ФК Ростов,ФК Уфа,1:1 (1:0),Ростов-на-ДонуСтадион Олимп-2
22.11.2015,19:30,Спартак,ФК Краснодар,3:2 (2:1),МоскваОткрытие Арена
22.11.2015,17:00,Кубань,Терек,2:2 (2:0),КраснодарСтадион Кубань
22.11.2015,14:30,Мордовия,Динамо,1:1 (0:1),СаранскСтадион Старт
21.11.2015,19:00,Локомотив,Анжи,0:2 (0:0),МоскваСтадион Локомотив
21.11.2015,16:30,Зенит,Урал,3:0 (1:0),Санкт-ПетербургСтадион Петровский
21.11.2015,14:00,Амкар,Рубин,1:2 (0:1),ПермьСтадион Звезда
21.11.2015,14:00,ЦСКА,Крылья Советов,0:2 (0:0),ХимкиАрена Химки
08.11.2015,19:30,Локомотив,Зенит,2:0 (0:0),МоскваСтадион Локомотив
08.11.2015,17:00,ФК Краснодар,ЦСКА,2:1 (2:1),КраснодарСтадион Кубань
08.11.2015,14:30,Рубин,Крылья Советов,2:0 (1:0),КазаньЦентральный стадион
07.11.2015,19:30,Терек,Спартак,2:1 (1:1),ГрозныйСтадион им. А.А. Кадырова
07.11.2015,18:30,Динамо,Кубань,2:1 (0:1),ХимкиАрена Химки
07.11.2015,18:15,ФК Уфа,Амкар,2:1 (0:0),УфаСтадион Нефтяник
07.11.2015,16:00,Урал,ФК Ростов,1:2 (1:1),ЕкатеринбургСКБ-Банк Арена
06.11.2015,19:00,Мордовия,Анжи,4:0 (2:0),СаранскСтадион Старт
